router,iface,ip
BERL,port_BARC,x.0.1.1/24
BERL,port_LOND,x.0.2.1/24
LOND,port_NEWY,x.0.8.1/24
LOND,port_BARC,x.0.12.2/24
LOND,port_BERL,x.0.2.2/24
BARC,port_BERL,x.0.1.2/24
BARC,port_LOND,x.0.12.1/24
BARC,port_NEWY,x.0.4.1/24
BARC,port_MIAM,x.0.6.1/24
BARC,port_ACCR,x.0.3.1/24
NEWY,port_LOND,x.0.8.2/24
NEWY,port_BARC,x.0.4.2/24
NEWY,port_SANF,x.0.11.1/24
NEWY,port_MIAM,x.0.5.1/24
NEWY,port_SAOP,x.0.10.1/24
SANF,port_NEWY,x.0.11.2/24
SANF,port_MIAM,x.0.13.1/24
MIAM,port_SANF,x.0.13.2/24
MIAM,port_NEWY,x.0.5.2/24
MIAM,port_BARC,x.0.6.2/24
MIAM,port_ACCR,x.0.9.2/24
MIAM,port_SAOP,x.0.14.2/24
SAOP,port_NEWY,x.0.10.2/24
SAOP,port_MIAM,x.0.14.1/24
SAOP,port_ACCR,x.0.7.2/24
ACCR,port_BARC,x.0.3.2/24
ACCR,port_MIAM,x.0.9.1/24
ACCR,port_SAOP,x.0.7.1/24