as,p
15169,0.131
2906,0.112
20940,0.11
6805,0.104
32934,0.068
16509,0.067
202818,0.024
46489,0.023
65050,0.021
22822,0.017
65013,0.015
15133,0.014
6185,0.014
24940,0.013
54113,0.012
20446,0.011
60068,0.011
16276,0.009
13335,0.008
5483,0.008
32590,0.008
8075,0.006
16625,0.006
8881,0.006
39572,0.005
8302,0.004
51324,0.004
65505,0.004
714,0.003
60781,0.003
49981,0.003
30361,0.003
6830,0.002
8068,0.002
49544,0.002
3356,0.002
35415,0.002
12876,0.002
8560,0.002
9009,0.002
57976,0.002
13445,0.002
19679,0.002
35402,0.002
3209,0.002
47674,0.002
203043,0.002
56467,0.002
34343,0.002
8412,0.001
134512,0.001
12912,0.001
6855,0.001
15555,0.001
6939,0.001
6724,0.001
47764,0.001
132203,0.001
396986,0.001
62041,0.001
24961,0.001
14618,0.001
60476,0.001
31042,0.001
199524,0.001
41690,0.001
2856,0.001
8972,0.001
43350,0.001
60558,0.001
24429,0.001
31898,0.001
14061,0.001
3215,0.001
22697,0.001
174,0.001
701,0.001
3269,0.001
205809,0.001
29066,0.001
6878,0.001
28753,0.001
61157,0.001
54994,0.001
24875,0.001
49453,0.001
8220,0.001
56898,0.001
25291,0.001
58181,0.001
141199,0.001
62044,0.001
44178,0.001
680,0.001
29789,0.001
31615,0.001
65063,0.001
34655,0.001
198792,0.001
199156,0.001
65526,0.001
48345,0.001
64666,0.001
31399,0.001
64476,0.001
65205,0.001